"roi","i2c2_m","i2c2_r","i2c2_diff","discr_m","discr_r","discr_diff","finger_m","finger_r","finger_diff"
259,0.494194334508378,0.428458305176326,0.0657360293320519,0.965277777777778,0.892509768943255,0.0727680088345226,0.596330275229358,0.44954128440367,0.146788990825688
260,0.47744179566735,0.364364425290715,0.113077370376635,0.951208375807,0.864094886170574,0.0871134896364254,0.541284403669725,0.321100917431193,0.220183486238532
261,0.470612251985499,0.452636416225705,0.0179758357597932,0.965033554196398,0.937245158002039,0.0277883961943595,0.73394495412844,0.577981651376147,0.155963302752294
262,0.474251033165449,0.401410893180363,0.0728401399850865,0.970141012572205,0.943000339789331,0.0271406727828746,0.706422018348624,0.651376146788991,0.055045871559633
263,0.397124817797826,0.448514161364683,-0.0513893435668568,0.952807646356033,0.940536867142372,0.0122707792136617,0.697247706422018,0.642201834862385,0.055045871559633
264,0.372664249600639,0.34929884722461,0.0233654023760292,0.953448861705742,0.931957186544342,0.0214916751613999,0.660550458715596,0.715596330275229,-0.055045871559633
265,0.415918705610187,0.451179789521227,-0.0352610839110409,0.939889143730887,0.932169554875977,0.00771958885490998,0.63302752293578,0.642201834862385,-0.00917431192660556
266,0.391556632607787,0.377125763027042,0.0144308695807451,0.945782364933741,0.949371389738362,-0.00358902480462109,0.669724770642202,0.63302752293578,0.036697247706422
267,0.417285372256637,0.357640786016992,0.0596445862396446,0.96297363031234,0.939432551817873,0.0235410784944671,0.697247706422018,0.660550458715596,0.036697247706422
268,0.259713886841178,0.252384553949349,0.00732933289182902,0.731598822324629,0.69897762345679,0.0326211988678387,0.073394495412844,0.036697247706422,0.036697247706422
269,0.41639252888795,0.356555977987167,0.0598365509007831,0.887678389398573,0.849133537206932,0.0385448521916412,0.275229357798165,0.229357798165138,0.0458715596330275
270,0.389849126607672,0.325565612872272,0.0642835137354001,0.769336136595311,0.712941628264209,0.0563945083311019,0.0917431192660551,0.0917431192660551,0
271,0.416960084212833,0.409923468241829,0.00703661597100386,0.902278712198437,0.871799795186892,0.0304789170115449,0.36697247706422,0.348623853211009,0.018348623853211
272,0.384897445328341,0.380264627143985,0.00463281818435562,0.859295361875637,0.853611964499061,0.00568339737657586,0.238532110091743,0.201834862385321,0.036697247706422
273,0.233818445586549,0.299621360958532,-0.0658029153719823,0.499458460754332,0.49493501529052,0.00452344546381245,0,0,0
274,0.25684756767175,0.329147174163717,-0.0722996064919675,0.845963474995733,0.82947175285885,0.0164917221368834,0.201834862385321,0.293577981651376,-0.0917431192660551
